work253.jpg,sstyle7,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work254.jpg,sstyle8,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work255.jpg,sstyle9,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work256.jpg,sstyle10,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work257.jpg,sstyle11,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work258.jpg,sstyle12,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work259.jpg,sstyle13,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work260.jpg,sstyle14,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work261.jpg,sstyle15,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work262.jpg,sstyle16,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work263.jpg,forus35,FORUS/エレベーターデザイン@@@【ディレクション・デザイン・編集・スチール撮影】,dtp,fashion
work265.jpg,sstyle17,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,food
work266.jpg,sstyle18,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,food
work267.jpg,sstyle19,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work268.jpg,sstyle20,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work269.jpg,atelier,Atelier the wedding/バナー@@@【ディレクション・デザイン・編集・スチール撮影・WEBデザイン】,web,wedding
work270.jpg,amerie,amerie the nail/フライヤー@@@【ディレクション・デザイン・編集・イラスト】,web,salon
work271.jpg,sstyle21,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,food
work272.jpg,sstyle22,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,food
work273.jpg,sstyle23,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,food
work274.jpg,florico5,florico/名刺デザイン@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,
work275.jpg,florico6,florico/名刺デザイン@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,
work276.jpg,sstyle24,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work277.jpg,sstyle25,S-style/巻頭特集@@@【ディレクション・デザイン・編集】,dtp,food
work278.jpg,sstyle26,S-style/イベントフライヤー@@@【ディレクション・デザイン・編集】,dtp,other
work279.jpg,siyakusyo,仙台市役所/イベント冊子@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,other
work280.jpg,siyakusyo,仙台市役所/イベント冊子@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,other
work281.jpg,siyakusyo,仙台市役所/イベント冊子@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,other
work282.jpg,siyakusyo,仙台市役所/イベント冊子@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,other
work283.jpg,siyakusyo,仙台市役所/イベント冊子@@@【ディレクション・デザイン・編集・スチール撮影・印刷】,dtp,other
work284.jpg,sstyle27,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,
work285.jpg,sstyle28,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,
work286.jpg,sstyle29,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,
work287.jpg,taizan15,焼肉 泰山/年賀状@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work288.jpg,sstyle30,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,
work289.jpg,sstyle31,S-style/紙面デザイン@@@【ディレクション・デザイン・編集】,dtp,
work290.jpg,winds,winds/飲食photo@@@【ディレクション・編集・スチール撮影・】,photo,food
work291.jpg,winds2,winds/飲食photo@@@【ディレクション・編集・スチール撮影・】,photo,food
work292.jpg,winds3,winds/飲食photo@@@【ディレクション・編集・スチール撮影・】,photo,food
work293.jpg,parco29,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work294.jpg,parco30,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work295.jpg,parco31,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work296.jpg,event,イベントphoto@@@【編集・スチール撮影】,photo,
work297.jpg,florico7,florico/名刺photo@@@【編集・スチール撮影】,dtp,
work298.jpg,akatyan,子供撮影@@@【編集・スチール撮影】,photo,
work299.jpg,litalico,LITALICO/web撮影@@@【編集・スチール撮影】,photo,
work300.jpg,notitlle,クラブフライヤーデザイン@@@【ディレクション・デザイン・編集・印刷】,dtp,club
